wl,n,k
0.4120000000,4.1616790000,3.3281720000
0.4130000000,4.1882890000,3.3121700000
0.4140000000,4.2132580000,3.2960650000
0.4150000000,4.2366290000,3.2800410000
0.4160000000,4.2584640000,3.2642740000
0.4170000000,4.2788470000,3.2489320000
0.4180000000,4.2978770000,3.2341700000
0.4190000000,4.3156710000,3.2201300000
0.4200000000,4.3323610000,3.2069380000
0.4210000000,4.3480880000,3.1947050000
0.4220000000,4.3630080000,3.1835230000
0.4230000000,4.3772810000,3.1734670000
0.4240000000,4.3910760000,3.1645930000
0.4250000000,4.4045640000,3.1569380000
0.4260000000,4.4179200000,3.1505190000
0.4270000000,4.4313160000,3.1453360000
0.4280000000,4.4449260000,3.1413690000
0.4290000000,4.4589190000,3.1385790000
0.4300000000,4.4734590000,3.1369120000
0.4310000000,4.4887020000,3.1362950000
0.4320000000,4.5047970000,3.1366390000
0.4330000000,4.5218830000,3.1378400000
0.4340000000,4.5400880000,3.1397780000
0.4350000000,4.5595270000,3.1423230000
0.4360000000,4.5803020000,3.1453300000
0.4370000000,4.6024970000,3.1486450000
0.4380000000,4.6261850000,3.1521020000
0.4390000000,4.6514170000,3.1555300000
0.4400000000,4.6782290000,3.1587510000
0.4410000000,4.7066380000,3.1615810000
0.4420000000,4.7366410000,3.1638360000
0.4430000000,4.7682150000,3.1653290000
0.4440000000,4.8013180000,3.1658760000
0.4450000000,4.8358870000,3.1652960000
0.4460000000,4.8718410000,3.1634140000
0.4470000000,4.9090790000,3.1600620000
0.4480000000,4.9474790000,3.1550840000
0.4490000000,4.9869060000,3.1483360000
0.4500000000,5.0272060000,3.1396880000
0.4510000000,5.0682110000,3.1290260000
0.4520000000,5.1097410000,3.1162550000
0.4530000000,5.1516060000,3.1013020000
0.4540000000,5.1936060000,3.0841100000
0.4550000000,5.2355390000,3.0646500000
0.4560000000,5.2771970000,3.0429100000
0.4570000000,5.3183770000,3.0189060000
0.4580000000,5.3588740000,2.9926720000
0.4590000000,5.3984930000,2.9642660000
0.4600000000,5.4370460000,2.9337660000
0.4610000000,5.4743580000,2.9012700000
0.4620000000,5.5102640000,2.8668940000
0.4630000000,5.5446180000,2.8307660000
0.4640000000,5.5772890000,2.7930290000
0.4650000000,5.6081640000,2.7538380000
0.4660000000,5.6371510000,2.7133530000
0.4670000000,5.6641730000,2.6717410000
0.4680000000,5.6891750000,2.6291700000
0.4690000000,5.7121200000,2.5858110000
0.4700000000,5.7329880000,2.5418300000
0.4710000000,5.7517770000,2.4973920000
0.4720000000,5.7684990000,2.4526540000
0.4730000000,5.7831820000,2.4077660000
0.4740000000,5.7958640000,2.3628720000
