WLnm, Rdata
1.184718e+03, 7.904630e-01
1.185363e+03, 7.904566e-01
1.186009e+03, 7.904488e-01
1.186654e+03, 7.904396e-01
1.187300e+03, 7.904289e-01
1.187945e+03, 7.904169e-01
1.188591e+03, 7.904036e-01
1.189236e+03, 7.903888e-01
1.189882e+03, 7.903727e-01
1.190528e+03, 7.903552e-01
1.191173e+03, 7.903364e-01
1.191819e+03, 7.903162e-01
1.192464e+03, 7.902946e-01
1.193110e+03, 7.902717e-01
1.193755e+03, 7.902475e-01
1.194401e+03, 7.902219e-01
1.195046e+03, 7.901950e-01
1.195692e+03, 7.901667e-01
1.196337e+03, 7.901371e-01
1.196983e+03, 7.901062e-01
1.197629e+03, 7.900739e-01
1.198274e+03, 7.900404e-01
1.198920e+03, 7.900055e-01
1.199565e+03, 7.899693e-01
1.200211e+03, 7.899318e-01
1.200856e+03, 7.898930e-01
1.201502e+03, 7.898528e-01
1.202147e+03, 7.898114e-01
1.202793e+03, 7.897687e-01
1.203438e+03, 7.897247e-01
1.204084e+03, 7.896794e-01
1.204730e+03, 7.896328e-01
1.205375e+03, 7.895849e-01
1.206021e+03, 7.895358e-01
1.206666e+03, 7.894853e-01
1.207312e+03, 7.894336e-01
1.207957e+03, 7.893807e-01
1.208603e+03, 7.893264e-01
1.209248e+03, 7.892709e-01
1.209894e+03, 7.892142e-01
1.210540e+03, 7.891562e-01
1.211185e+03, 7.890969e-01
1.211831e+03, 7.890364e-01
1.212476e+03, 7.889746e-01
1.213122e+03, 7.889116e-01
1.213767e+03, 7.888473e-01
1.214413e+03, 7.887818e-01
1.215058e+03, 7.887150e-01
1.215704e+03, 7.886469e-01
1.216349e+03, 7.885777e-01
1.216995e+03, 7.885072e-01
1.217641e+03, 7.884354e-01
1.218286e+03, 7.883625e-01
1.218932e+03, 7.882883e-01
1.219577e+03, 7.882129e-01
1.220223e+03, 7.881363e-01
1.220868e+03, 7.880585e-01
1.221514e+03, 7.879795e-01
1.222159e+03, 7.878993e-01
1.222805e+03, 7.878178e-01
1.223450e+03, 7.877352e-01
1.224096e+03, 7.876514e-01
1.224742e+03, 7.875663e-01
1.225387e+03, 7.874801e-01
1.226033e+03, 7.873927e-01
1.226678e+03, 7.873041e-01
1.227324e+03, 7.872143e-01
1.227969e+03, 7.871234e-01
1.228615e+03, 7.870312e-01
1.229260e+03, 7.869379e-01
1.229906e+03, 7.868434e-01
1.230552e+03, 7.867477e-01
1.231197e+03, 7.866509e-01
1.231843e+03, 7.865528e-01
1.232488e+03, 7.864536e-01
1.233134e+03, 7.863532e-01
1.233779e+03, 7.862517e-01
1.234425e+03, 7.861490e-01
1.235070e+03, 7.860451e-01
1.235716e+03, 7.859401e-01
1.236361e+03, 7.858339e-01
1.237007e+03, 7.857266e-01
1.237653e+03, 7.856180e-01
1.238298e+03, 7.855084e-01
1.238944e+03, 7.853975e-01
1.239589e+03, 7.852855e-01
1.240235e+03, 7.851723e-01
1.240880e+03, 7.850580e-01
1.241526e+03, 7.849426e-01
1.242171e+03, 7.848260e-01
1.242817e+03, 7.847082e-01
1.243462e+03, 7.845893e-01
1.244108e+03, 7.844693e-01
1.244754e+03, 7.843482e-01
1.245399e+03, 7.842259e-01
1.246045e+03, 7.841025e-01
1.246690e+03, 7.839779e-01
1.247336e+03, 7.838522e-01
1.247981e+03, 7.837254e-01
1.248627e+03, 7.835975e-01
1.249272e+03, 7.834684e-01
1.249918e+03, 7.833382e-01
1.250564e+03, 7.832069e-01
1.251209e+03, 7.830745e-01
1.251855e+03, 7.829410e-01
1.252500e+03, 7.828063e-01
1.253146e+03, 7.826706e-01
1.253791e+03, 7.825337e-01
1.254437e+03, 7.823957e-01
1.255082e+03, 7.822566e-01
1.255728e+03, 7.821163e-01
1.256373e+03, 7.819750e-01
1.257019e+03, 7.818326e-01
1.257665e+03, 7.816890e-01
1.258310e+03, 7.815444e-01
1.258956e+03, 7.813986e-01
1.259601e+03, 7.812517e-01
1.260247e+03, 7.811038e-01
1.260892e+03, 7.809547e-01
1.261538e+03, 7.808045e-01
1.262183e+03, 7.806533e-01
1.262829e+03, 7.805009e-01
1.263474e+03, 7.803474e-01
1.264120e+03, 7.801928e-01
1.264766e+03, 7.800371e-01
1.265411e+03, 7.798803e-01
1.266057e+03, 7.797224e-01
1.266702e+03, 7.795634e-01
1.267348e+03, 7.794033e-01
1.267993e+03, 7.792422e-01
1.268639e+03, 7.790799e-01
1.269284e+03, 7.789166e-01
1.269930e+03, 7.787522e-01
1.270576e+03, 7.785867e-01
1.271221e+03, 7.784201e-01
1.271867e+03, 7.782524e-01
1.272512e+03, 7.780836e-01
1.273158e+03, 7.779138e-01
1.273803e+03, 7.777428e-01
1.274449e+03, 7.775708e-01
1.275094e+03, 7.773977e-01
1.275740e+03, 7.772235e-01
1.276385e+03, 7.770483e-01
1.277031e+03, 7.768719e-01
1.277677e+03, 7.766945e-01
1.278322e+03, 7.765160e-01
1.278968e+03, 7.763364e-01
1.279613e+03, 7.761558e-01
1.280259e+03, 7.759740e-01
1.280904e+03, 7.757912e-01
1.281550e+03, 7.756073e-01
1.282195e+03, 7.754224e-01
1.282841e+03, 7.752364e-01
1.283486e+03, 7.750493e-01
1.284132e+03, 7.748611e-01
1.284778e+03, 7.746719e-01
1.285423e+03, 7.744816e-01
1.286069e+03, 7.742902e-01
1.286714e+03, 7.740977e-01
1.287360e+03, 7.739042e-01
1.288005e+03, 7.737096e-01
1.288651e+03, 7.735140e-01
1.289296e+03, 7.733172e-01
1.289942e+03, 7.731194e-01
1.290588e+03, 7.729206e-01
1.291233e+03, 7.727207e-01
1.291879e+03, 7.725197e-01
1.292524e+03, 7.723176e-01
1.293170e+03, 7.721145e-01
1.293815e+03, 7.719103e-01
1.294461e+03, 7.717050e-01
1.295106e+03, 7.714987e-01
1.295752e+03, 7.712913e-01
1.296397e+03, 7.710829e-01
1.297043e+03, 7.708734e-01
1.297689e+03, 7.706628e-01
1.298334e+03, 7.704512e-01
1.298980e+03, 7.702385e-01
1.299625e+03, 7.700248e-01
1.300271e+03, 7.698100e-01
1.300916e+03, 7.695941e-01
1.301562e+03, 7.693772e-01
1.302207e+03, 7.691592e-01
1.302853e+03, 7.689401e-01
1.303498e+03, 7.687200e-01
1.304144e+03, 7.684988e-01
1.304790e+03, 7.682765e-01
1.305435e+03, 7.680532e-01
1.306081e+03, 7.678289e-01
1.306726e+03, 7.676035e-01
1.307372e+03, 7.673770e-01
1.308017e+03, 7.671495e-01
1.308663e+03, 7.669209e-01
1.309308e+03, 7.666912e-01
1.309954e+03, 7.664605e-01
1.310600e+03, 7.662287e-01
1.311245e+03, 7.659959e-01
1.311891e+03, 7.657620e-01
1.312536e+03, 7.655271e-01
1.313182e+03, 7.652911e-01
1.313827e+03, 7.650540e-01
1.314473e+03, 7.648159e-01
1.315118e+03, 7.645768e-01
1.315764e+03, 7.643365e-01
1.316409e+03, 7.640952e-01
1.317055e+03, 7.638529e-01
1.317701e+03, 7.636095e-01
1.318346e+03, 7.633650e-01
1.318992e+03, 7.631195e-01
1.319637e+03, 7.628729e-01
1.320283e+03, 7.626253e-01
1.320928e+03, 7.623766e-01
1.321574e+03, 7.621269e-01
1.322219e+03, 7.618761e-01
1.322865e+03, 7.616242e-01
1.323511e+03, 7.613713e-01
1.324156e+03, 7.611173e-01
1.324802e+03, 7.608622e-01
1.325447e+03, 7.606062e-01
1.326093e+03, 7.603490e-01
1.326738e+03, 7.600908e-01
1.327384e+03, 7.598315e-01
1.328029e+03, 7.595712e-01
1.328675e+03, 7.593098e-01
1.329320e+03, 7.590473e-01
1.329966e+03, 7.587838e-01
1.330612e+03, 7.585192e-01
1.331257e+03, 7.582536e-01
1.331903e+03, 7.579869e-01
1.332548e+03, 7.577191e-01
1.333194e+03, 7.574503e-01
1.333839e+03, 7.571804e-01
1.334485e+03, 7.569095e-01
1.335130e+03, 7.566375e-01
1.335776e+03, 7.563644e-01
1.336421e+03, 7.560903e-01
1.337067e+03, 7.558151e-01
1.337713e+03, 7.555388e-01
1.338358e+03, 7.552615e-01
1.339004e+03, 7.549832e-01
1.339649e+03, 7.547037e-01
1.340295e+03, 7.544232e-01
1.340940e+03, 7.541416e-01
1.341586e+03, 7.538590e-01
1.342231e+03, 7.535753e-01
1.342877e+03, 7.532905e-01
1.343523e+03, 7.530046e-01
1.344168e+03, 7.527177e-01
1.344814e+03, 7.524297e-01
1.345459e+03, 7.521406e-01
1.346105e+03, 7.518505e-01
1.346750e+03, 7.515593e-01
1.347396e+03, 7.512671e-01
1.348041e+03, 7.509738e-01
1.348687e+03, 7.506794e-01
1.349332e+03, 7.503839e-01
1.349978e+03, 7.500874e-01
1.350624e+03, 7.497898e-01
1.351269e+03, 7.494911e-01
1.351915e+03, 7.491914e-01
1.352560e+03, 7.488906e-01
1.353206e+03, 7.485887e-01
1.353851e+03, 7.482858e-01
1.354497e+03, 7.479818e-01
1.355142e+03, 7.476767e-01
1.355788e+03, 7.473706e-01
1.356433e+03, 7.470634e-01
1.357079e+03, 7.467551e-01
1.357725e+03, 7.464458e-01
1.358370e+03, 7.461353e-01
1.359016e+03, 7.458238e-01
1.359661e+03, 7.455113e-01
1.360307e+03, 7.451976e-01
1.360952e+03, 7.448829e-01
1.361598e+03, 7.445671e-01
1.362243e+03, 7.442502e-01
1.362889e+03, 7.439322e-01
1.363535e+03, 7.436132e-01
1.364180e+03, 7.432931e-01
1.364826e+03, 7.429719e-01
1.365471e+03, 7.426496e-01
1.366117e+03, 7.423263e-01
1.366762e+03, 7.420018e-01
1.367408e+03, 7.416763e-01
1.368053e+03, 7.413497e-01
1.368699e+03, 7.410220e-01
1.369344e+03, 7.406932e-01
1.369990e+03, 7.403634e-01
1.370636e+03, 7.400324e-01
1.371281e+03, 7.397004e-01
1.371927e+03, 7.393673e-01
1.372572e+03, 7.390331e-01
1.373218e+03, 7.386978e-01
1.373863e+03, 7.383614e-01
1.374509e+03, 7.380240e-01
1.375154e+03, 7.376854e-01
1.375800e+03, 7.373458e-01
