MRQuerry1985_OpticalConstants_refractiveindex.info,,,,,
wl,n-e,k-e,n-o,k-o,
1.7,1.721,0.017,1.744,0.019,
1.71,1.721,0.017,1.744,0.019,
1.72,1.721,0.016,1.744,0.019,
1.73,1.72,0.016,1.744,0.019,
1.74,1.72,0.017,1.743,0.018,
1.75,1.72,0.016,1.743,0.019,
1.76,1.72,0.016,1.743,0.019,
1.77,1.72,0.017,1.744,0.018,
1.78,1.72,0.015,1.744,0.018,
1.79,1.72,0.015,1.743,0.017,
1.8,1.719,0.015,1.743,0.017,
1.81,1.719,0.015,1.742,0.017,
1.82,1.718,0.015,1.742,0.018,
1.83,1.718,0.015,1.742,0.017,
1.84,1.718,0.015,1.741,0.017,
1.85,1.717,0.015,1.74,0.017,
1.86,1.716,0.016,1.739,0.018,
1.87,1.716,0.016,1.739,0.019,
1.88,1.717,0.018,1.74,0.02,
1.89,1.717,0.018,1.741,0.02,
1.9,1.718,0.017,1.741,0.02,
1.91,1.718,0.016,1.741,0.019,
1.92,1.718,0.017,1.741,0.019,
1.93,1.717,0.017,1.741,0.019,
1.94,1.718,0.016,1.741,0.019,
1.95,1.718,0.016,1.741,0.019,
1.96,1.718,0.015,1.741,0.019,
1.97,1.717,0.015,1.74,0.018,
1.98,1.717,0.015,1.74,0.018,
1.99,1.716,0.015,1.739,0.018,
2,1.716,0.015,1.739,0.018,
2.01,1.715,0.015,1.739,0.018,
2.02,1.715,0.015,1.738,0.018,
2.03,1.715,0.015,1.738,0.018,
2.04,1.714,0.015,1.737,0.018,
2.05,1.714,0.015,1.737,0.019,
2.06,1.714,0.015,1.737,0.019,
2.07,1.714,0.015,1.737,0.019,
2.08,1.714,0.015,1.737,0.019,
2.09,1.714,0.015,1.737,0.019,
2.1,1.714,0.016,1.737,0.018,
2.11,1.713,0.016,1.736,0.018,
2.12,1.713,0.015,1.736,0.018,
2.13,1.713,0.015,1.736,0.019,
2.14,1.712,0.015,1.735,0.019,
2.15,1.712,0.016,1.735,0.019,
2.16,1.712,0.016,1.735,0.019,
2.17,1.712,0.016,1.735,0.02,
2.18,1.712,0.016,1.735,0.019,
2.19,1.712,0.016,1.735,0.019,
2.2,1.711,0.016,1.734,0.019,
2.21,1.711,0.016,1.734,0.02,
2.22,1.711,0.017,1.734,0.02,
2.23,1.711,0.017,1.734,0.021,
2.24,1.711,0.017,1.734,0.02,
2.25,1.711,0.017,1.734,0.02,
2.26,1.711,0.016,1.734,0.021,
2.27,1.711,0.017,1.734,0.02,
2.28,1.711,0.016,1.734,0.02,
2.29,1.711,0.016,1.734,0.02,
2.3,1.711,0.016,1.734,0.02,
2.31,1.71,0.016,1.733,0.02,
2.32,1.71,0.016,1.733,0.02,
2.33,1.71,0.016,1.733,0.02,
2.34,1.71,0.016,1.733,0.02,
2.35,1.71,0.016,1.733,0.02,
2.36,1.71,0.016,1.733,0.02,
2.37,1.709,0.016,1.732,0.02,
2.38,1.709,0.016,1.732,0.021,
2.39,1.709,0.017,1.732,0.02,
2.4,1.709,0.015,1.732,0.021,
2.41,1.709,0.016,1.732,0.02,
2.42,1.709,0.015,1.732,0.02,
2.43,1.709,0.015,1.732,0.02,
2.44,1.709,0.016,1.732,0.019,
2.45,1.709,0.015,1.732,0.02,
2.46,1.709,0.014,1.732,0.019,
2.47,1.708,0.014,1.731,0.019,
2.48,1.708,0.013,1.731,0.019,
2.49,1.707,0.013,1.73,0.018,
2.5,1.706,0.014,1.729,0.018,
2.5063,1.707,0.013,1.729,0.019,
2.5126,1.706,0.012,1.729,0.019,
2.5189,1.706,0.012,1.729,0.019,
2.5253,1.705,0.012,1.728,0.019,
2.5316,1.705,0.013,1.728,0.018,
2.5381,1.704,0.013,1.728,0.019,
