wl_um,n,k
0.21705900,1.534884,0.005552
0.21923000,1.532892,0.00548
0.22142200,1.530963,0.005409
0.22363600,1.529095,0.005339
0.22587200,1.527285,0.005271
0.22813000,1.52553,0.005203
0.23041100,1.523828,0.005137
0.23271500,1.522177,0.005072
0.23504200,1.520575,0.005008
0.23739200,1.51902,0.004946
0.23976600,1.51751,0.004884
0.24216400,1.516043,0.004823
0.24458500,1.514619,0.004764
0.24703100,1.513234,0.004705
0.24950100,1.511889,0.004647
0.25199500,1.51058,0.00459
0.25451500,1.509308,0.004535
0.25706000,1.50807,0.00448
0.25963000,1.506866,0.004426
0.26222600,1.505695,0.004372
0.26484800,1.504555,0.00432
0.26749700,1.503445,0.004268
0.27017100,1.502364,0.004218
0.27287300,1.501312,0.004168
0.27560100,1.500287,0.004118
0.27835700,1.499288,0.00407
0.28114000,1.498315,0.004022
0.28395100,1.497367,0.003975
0.28679100,1.496443,0.003929
0.28965800,1.495543,0.003883
0.29255500,1.494665,0.003838
0.29548000,1.493809,0.003794
0.29843400,1.492974,0.00375
0.30141900,1.49216,0.003707
0.30443200,1.491366,0.003665
0.30747600,1.490591,0.003623
0.31055100,1.489835,0.003582
0.31365600,1.489098,0.003541
0.31679200,1.488379,0.003501
0.31996000,1.487676,0.003461
0.32315900,1.486991,0.003422
0.32639100,1.486322,0.003384
0.32965400,1.485668,0.003346
0.33295000,1.485031,0.003309
0.33628000,1.484408,0.003272
0.33964200,1.4838,0.003235
0.34303800,1.483206,0.003199
0.34646800,1.482626,0.003164
0.34993300,1.482059,0.003129
0.35343200,1.481506,0.003094
0.35696600,1.480965,0.00306
0.36053500,1.480437,0.003027
0.36414000,1.479921,0.002994
0.36778100,1.479416,0.002961
0.37145800,1.478923,0.002928
0.37517300,1.478442,0.002896
0.37892400,1.477971,0.002865
0.38271300,1.477511,0.002834
0.38654000,1.477061,0.002803
0.39040500,1.476621,0.002773
0.39430800,1.476191,0.002743
0.39825100,1.475771,0.002713
0.40223300,1.47536,0.002684
0.40625500,1.474958,0.002655
0.41031700,1.474565,0.002627
0.41442000,1.474181,0.002599
0.41856400,1.473805,0.002571
0.42274900,1.473438,0.002543
0.42697600,1.473078,0.002516
0.43124500,1.472727,0.002489
0.43555800,1.472383,0.002463
0.43991300,1.472047,0.002437
0.44431100,1.471718,0.002411
0.44875400,1.471396,0.002385
0.45324100,1.471081,0.00236
0.45777300,1.470773,0.002335
0.46235000,1.470471,0.002311
0.46697300,1.470176,0.002286
0.47164300,1.469888,0.002262
0.47635900,1.469605,0.002238
0.48112200,1.469329,0.002215
0.48593300,1.469058,0.002192
0.49079200,1.468794,0.002169
0.49569900,1.468535,0.002146
0.50065500,1.468281,0.002123
0.50566200,1.468033,0.002101
0.51071800,1.46779,0.002079
0.51582400,1.467553,0.002058
0.52098200,1.46732,0.002036
0.52619100,1.467092,0.002015
0.53145300,1.466869,0.001994
0.53676700,1.466651,0.001973
0.54213400,1.466437,0.001953
0.54755500,1.466228,0.001933
0.55303000,1.466023,0.001913
0.55856000,1.465823,0.001893
0.56414500,1.465627,0.001873
0.56978600,1.465434,0.001854
0.57548300,1.465246,0.001835
0.58123700,1.465062,0.001816
0.58704900,1.464882,0.001797
0.59291900,1.464705,0.001779
0.59884800,1.464532,0.001761
0.60483500,1.464363,0.001742
0.61088300,1.464197,0.001725
0.61699100,1.464034,0.001707
0.62316100,1.463875,0.001689
0.62939200,1.46372,0.001672
0.63568500,1.463567,0.001655
0.64204100,1.463418,0.001638
0.64846100,1.463271,0.001621
0.65494500,1.463128,0.001605
0.66149400,1.462988,0.001588
0.66810800,1.46285,0.001572
0.67478900,1.462716,0.001556
0.68153600,1.462584,0.00154
0.68835100,1.462455,0.001524
0.69523400,1.462328,0.001509
0.70218500,1.462204,0.001494
0.70920600,1.462083,0.001478
0.71629800,1.461964,0.001463
0.72346000,1.461847,0.001448
0.73069400,1.461733,0.001434
0.73800000,1.461622,0.001419
0.74537900,1.461512,0.001405
0.75283300,1.461405,0.00139
0.76036000,1.4613,0.001376
0.76796300,1.461197,0.001362
0.77564200,1.461096,0.001349
0.78339800,1.460997,0.001335
0.79123100,1.4609,0.001322
0.79914200,1.460806,0.001308
0.80713300,1.460713,0.001295
0.81520400,1.460622,0.001282
0.82335500,1.460533,0.001269
0.83158800,1.460445,0.001256
0.83990300,1.46036,0.001243
0.84830100,1.460276,0.001231
0.85678300,1.460194,0.001218
0.86535000,1.460113,0.001206
0.87400300,1.460034,0.001194
0.88274200,1.459957,0.001182
0.89156900,1.459881,0.00117
0.90048300,1.459807,0.001158
0.90948700,1.459734,0.001147
