thisWorkwl,thisWorkn,thisWorkk
927.005188,3.381615,0.057478
928.581543,3.380043,0.057252
930.157715,3.378478,0.057028
931.733704,3.376921,0.056806
933.309448,3.375371,0.056586
934.885071,3.373829,0.056368
936.460449,3.372294,0.056152
938.035767,3.370766,0.055938
939.610718,3.369246,0.055726
941.185669,3.367732,0.055515
942.760254,3.366225,0.055307
944.334778,3.364726,0.055101
945.909058,3.363233,0.054896
947.483215,3.361746,0.054693
949.057007,3.360266,0.054492
950.630737,3.358793,0.054293
952.204285,3.357327,0.054095
953.777649,3.355866,0.053899
955.350769,3.354412,0.053705
956.923706,3.352964,0.053513
958.496399,3.351522,0.053322
960.06897,3.350087,0.053133
961.641296,3.348657,0.052945
963.213501,3.347234,0.052759
964.785339,3.345816,0.052574
966.357117,3.344404,0.052391
967.928589,3.342998,0.05221
969.499878,3.341598,0.05203
971.071106,3.340203,0.051851
972.641968,3.338814,0.051674
974.212708,3.33743,0.051499
975.783203,3.336052,0.051325
977.353394,3.334679,0.051152
978.923523,3.333311,0.050981
980.493347,3.331949,0.050811
982.06311,3.330592,0.050642
983.632507,3.32924,0.050475
985.201782,3.327893,0.050309
986.770691,3.326551,0.050144
988.339539,3.325214,0.049981
989.908081,3.323882,0.049819
991.47644,3.322555,0.049658
993.044617,3.321233,0.049499
994.612488,3.319915,0.04934
996.180298,3.318603,0.049183
997.747742,3.317294,0.049027
999.314941,3.315991,0.048873
1013.130554,3.304684,0.047558
1016.535828,3.301946,0.047247
1019.941528,3.299226,0.04694
1023.347473,3.296523,0.046638
1026.753784,3.293838,0.046341
1030.160522,3.291169,0.046048
1033.567627,3.288517,0.04576
1036.974854,3.285881,0.045476
1040.382568,3.28326,0.045196
1043.790771,3.280655,0.04492
1047.199097,3.278065,0.044648
1050.60791,3.275489,0.04438
1054.01709,3.272928,0.044116
1057.426514,3.27038,0.043855
1060.836304,3.267847,0.043599
1064.246582,3.265326,0.043345
1067.656982,3.262818,0.043096
1071.067993,3.260323,0.042849
1074.479126,3.257841,0.042607
1077.890747,3.25537,0.042367
1081.302612,3.252912,0.042131
1084.714966,3.250465,0.041897
1088.127563,3.248029,0.041667
1091.540527,3.245604,0.04144
1094.953857,3.24319,0.041216
1098.367432,3.240787,0.040995
1101.781494,3.238394,0.040777
1105.195923,3.23601,0.040561
1108.610596,3.233637,0.040348
1112.025635,3.231273,0.040138
1115.44104,3.228918,0.039931
1118.856812,3.226573,0.039726
1122.272949,3.224236,0.039524
1125.689331,3.221909,0.039324
1129.106201,3.219589,0.039127
1132.523315,3.217278,0.038932
1135.940796,3.214975,0.038739
1139.358643,3.21268,0.038549
1142.776855,3.210392,0.038361
1146.195435,3.208112,0.038175
1149.61438,3.205839,0.037992
1153.033569,3.203573,0.037811
1156.453247,3.201315,0.037631
1159.873169,3.199063,0.037454
1163.293457,3.196818,0.037279
1166.714111,3.194579,0.037106
1170.13501,3.192346,0.036935
1173.556396,3.19012,0.036766
1176.978149,3.187899,0.036599
1180.400146,3.185684,0.036433
1183.82251,3.183475,0.03627
1187.245361,3.181271,0.036108
1190.668457,3.179073,0.035949
1194.091919,3.17688,0.03579
1197.515625,3.174692,0.035634
1200.939697,3.172509,0.035479
1204.364258,3.170331,0.035327
1207.789185,3.168157,0.035175
1211.214233,3.165987,0.035026
1214.639893,3.163823,0.034877
1218.065674,3.161662,0.034731
1221.491943,3.159506,0.034586
1224.918579,3.157353,0.034443
1228.345459,3.155205,0.034301
1231.772705,3.15306,0.03416
1235.200439,3.150919,0.034021
1238.628418,3.148781,0.033884
1242.056763,3.146647,0.033748
1245.485352,3.144516,0.033613
1248.914429,3.142388,0.03348
1252.34375,3.140264,0.033348
1255.77356,3.138142,0.033217
1259.203613,3.136023,0.033087
1262.634033,3.133907,0.032959
1266.064697,3.131794,0.032833
1269.49585,3.129683,0.032707
1272.927368,3.127575,0.032583
1276.359131,3.125469,0.03246
1279.791382,3.123365,0.032338
1283.223877,3.121264,0.032217
1286.656738,3.119164,0.032098
1290.089966,3.117067,0.031979
1293.52356,3.114972,0.031862
1296.95752,3.112878,0.031746
1300.391724,3.110786,0.031631
1303.826416,3.108696,0.031517
1307.261353,3.106607,0.031404
1310.696655,3.10452,0.031293
1314.132324,3.102434,0.031182
1317.568237,3.10035,0.031072
1321.004639,3.098266,0.030963
1324.441406,3.096184,0.030856
1327.878418,3.094103,0.030749
1331.315796,3.092023,0.030643
1334.753662,3.089944,0.030539
1338.19165,3.087866,0.030435
1341.630127,3.085789,0.030332
1345.06897,3.083712,0.03023
1348.508057,3.081636,0.030129
1351.947632,3.07956,0.030029
1355.387451,3.077485,0.02993
1358.827637,3.075411,0.029832
1362.268311,3.073336,0.029735
1365.709229,3.071263,0.029638
1369.150391,3.069189,0.029542
1372.592041,3.067115,0.029448
1376.033936,3.065042,0.029354
1379.476318,3.062968,0.02926
1382.918823,3.060895,0.029168
1386.361938,3.058821,0.029076
1389.805176,3.056748,0.028986
1393.248901,3.054674,0.028896
1396.692993,3.052599,0.028806
1400.137329,3.050525,0.028718
1403.582153,3.04845,0.02863
1407.0271,3.046375,0.028543
1410.472656,3.044299,0.028457
1413.918335,3.042222,0.028372
1417.364502,3.040145,0.028287
1420.811035,3.038067,0.028203
1424.257813,3.035989,0.028119
1427.705078,3.033909,0.028037
1431.152588,3.031829,0.027955
1434.600464,3.029748,0.027874
1438.048706,3.027666,0.027793
1441.497314,3.025583,0.027713
1444.946167,3.023499,0.027634
1448.395508,3.021414,0.027555
1451.845093,3.019328,0.027477
1455.295166,3.017241,0.0274
1458.745361,3.015152,0.027323
1462.196045,3.013062,0.027247
1465.647217,3.01097,0.027171
1469.098511,3.008878,0.027097
1472.550171,3.006783,0.027022
1476.002319,3.004688,0.026949
1479.454712,3.002591,0.026876
1482.907471,3.000492,0.026803
1486.360596,2.998392,0.026731
1489.814087,2.996289,0.02666
1493.267822,2.994186,0.026589
1496.722046,2.99208,0.026519
1500.176514,2.989973,0.026449
1503.63147,2.987864,0.02638
1507.08667,2.985753,0.026311
1510.542236,2.98364,0.026243
1513.998169,2.981525,0.026176
1517.454346,2.979408,0.026109
1520.911011,2.977289,0.026043
1524.36792,2.975168,0.025977
1527.825317,2.973045,0.025911
1531.282959,2.970919,0.025846
1534.740967,2.968791,0.025782
1538.199341,2.966662,0.025718
1541.657959,2.96453,0.025655
1545.117065,2.962395,0.025592
1548.576416,2.960258,0.025529
1552.036255,2.958119,0.025467
1555.496338,2.955977,0.025406
1558.956787,2.953833,0.025345
1562.417603,2.951686,0.025284
1565.878784,2.949537,0.025224
1569.34021,2.947385,0.025164
1572.802124,2.945231,0.025105
1576.264404,2.943074,0.025046
1579.726807,2.940914,0.024988
1583.189697,2.938751,0.02493
1586.653076,2.936586,0.024873
1590.116577,2.934417,0.024816
1593.580566,2.932246,0.024759
1597.0448,2.930073,0.024703
1600.509521,2.927896,0.024647
1603.974487,2.925716,0.024592
1607.439819,2.923533,0.024537
1610.905518,2.921347,0.024483
1614.371582,2.919158,0.024428
1617.838013,2.916966,0.024375
1621.304688,2.914771,0.024321
1624.771729,2.912573,0.024269
1628.239258,2.910372,0.024216
1631.707031,2.908167,0.024164
1635.175049,2.905959,0.024112
1638.643555,2.903748,0.024061
1642.112549,2.901534,0.02401
1645.581665,2.899316,0.023959
1649.051147,2.897095,0.023909
1652.521118,2.89487,0.023859
1655.991211,2.892642,0.02381
1659.461914,2.89041,0.023761
1662.932861,2.888175,0.023712
1666.404053,2.885937,0.023663
1669.875732,2.883695,0.023615
1673.347656,2.881449,0.023568
1676.819946,2.8792,0.02352
1680.292603,2.876947,0.023473
1683.765625,2.87469,0.023427
1687.239014,2.872429,0.02338
