WL_nm,Rcalibrated,,
1308.903133903130000,0.714151827553889,,
1310.683760683760000,0.740393626991565,,
1314.957264957260000,0.764761012183692,,
1317.450142450140000,0.798500468603561,,
1319.943019943010000,0.800374882849109,,
1323.860398860390000,0.834114339268978,,
1324.928774928770000,0.869728209934395,,
1325.641025641020000,0.899718837863167,,
1326.709401709400000,0.892221180880974,,
1329.914529914520000,0.914714151827554,,
1333.119658119650000,0.905342080599812,,
1334.900284900280000,0.888472352389878,,
1339.886039886030000,0.854732895970009,,
1344.871794871790000,0.839737582005623,,
1349.857549857540000,0.802249297094658,,
1354.843304843300000,0.800374882849109,,
1359.829059829050000,0.792877225866916,,
1364.814814814810000,0.777881911902530,,
1369.800569800560000,0.774133083411433,,
1374.786324786320000,0.776007497656982,,
1379.772079772070000,0.768509840674789,,
1385.113960113960000,0.755388940955951,,
1390.099715099710000,0.746016869728210,,
1395.085470085470000,0.757263355201499,,
1399.893162393160000,0.753983130271790,,
1405.056980056980000,0.731021555763823,,
1410.042735042730000,0.751640112464854,,
1415.028490028490000,0.740393626991565,,
1420.014245014240000,0.740393626991565,,
1425.000000000000000,0.731021555763823,,
1429.985754985750000,0.736644798500468,,
1434.971509971510000,0.723523898781630,,
1439.957264957260000,0.727272727272727,,
1444.943019943010000,0.731021555763823,,
1449.928774928770000,0.721649484536082,,
1454.914529914520000,0.712277413308341,,
1459.900284900280000,0.712277413308341,,
1465.242165242160000,0.714151827553889,,
1469.871794871790000,0.714151827553889,,
1474.857549857540000,0.706654170571696,,
1479.843304843300000,0.691658856607310,,
1485.185185185180000,0.687910028116213,,
1489.814814814810000,0.669165885660731,,
1494.800569800560000,0.661668228678538,,
1500.142450142450000,0.663542642924086,,
1504.772079772070000,0.661668228678538,,
1509.757834757830000,0.641049671977507,,
1515.099715099710000,0.654170571696344,,
1520.085470085470000,0.648547328959700,,
1525.071225071220000,0.627928772258669,,
1530.056980056980000,0.582942830365510,,
1535.042735042730000,0.558575445173383,,
1540.028490028490000,0.509840674789128,,
1545.014245014240000,0.481724461105904,,
1550.000000000000000,0.449859418931583,,
