simWLnm, simR, simA, simT
1.006252e+03, 7.908408e-01, 1.736500e-04, 2.089855e-01
1.006321e+03, 7.908465e-01, 1.734207e-04, 2.089801e-01
1.006390e+03, 7.908522e-01, 1.731915e-04, 2.089746e-01
1.006458e+03, 7.908579e-01, 1.729623e-04, 2.089691e-01
1.006527e+03, 7.908636e-01, 1.727331e-04, 2.089636e-01
1.006596e+03, 7.908693e-01, 1.725039e-04, 2.089582e-01
1.006665e+03, 7.908750e-01, 1.722748e-04, 2.089527e-01
1.006733e+03, 7.908807e-01, 1.720457e-04, 2.089473e-01
1.006802e+03, 7.908863e-01, 1.718166e-04, 2.089418e-01
1.006871e+03, 7.908920e-01, 1.715875e-04, 2.089364e-01
1.006939e+03, 7.908976e-01, 1.713585e-04, 2.089310e-01
1.007008e+03, 7.909033e-01, 1.711295e-04, 2.089256e-01
1.007077e+03, 7.909089e-01, 1.709005e-04, 2.089202e-01
1.007146e+03, 7.909145e-01, 1.706715e-04, 2.089148e-01
1.007214e+03, 7.909201e-01, 1.704426e-04, 2.089095e-01
1.007283e+03, 7.909257e-01, 1.702136e-04, 2.089041e-01
1.007352e+03, 7.909313e-01, 1.699847e-04, 2.088987e-01
1.007420e+03, 7.909369e-01, 1.697559e-04, 2.088934e-01
1.007489e+03, 7.909424e-01, 1.695270e-04, 2.088880e-01
1.007558e+03, 7.909480e-01, 1.693132e-04, 2.088827e-01
1.007626e+03, 7.909536e-01, 1.691023e-04, 2.088773e-01
1.007695e+03, 7.909592e-01, 1.688914e-04, 2.088719e-01
1.007764e+03, 7.909647e-01, 1.686806e-04, 2.088666e-01
1.007833e+03, 7.909703e-01, 1.684698e-04, 2.088612e-01
1.007901e+03, 7.909758e-01, 1.682589e-04, 2.088559e-01
1.007970e+03, 7.909814e-01, 1.680482e-04, 2.088506e-01
1.008039e+03, 7.909869e-01, 1.678374e-04, 2.088453e-01
1.008107e+03, 7.909924e-01, 1.676266e-04, 2.088400e-01
1.008176e+03, 7.909979e-01, 1.674159e-04, 2.088347e-01
1.008245e+03, 7.910034e-01, 1.672052e-04, 2.088294e-01
1.008314e+03, 7.910089e-01, 1.669945e-04, 2.088241e-01
1.008382e+03, 7.910144e-01, 1.667839e-04, 2.088188e-01
1.008451e+03, 7.910199e-01, 1.665732e-04, 2.088135e-01
1.008520e+03, 7.910253e-01, 1.663626e-04, 2.088083e-01
1.008588e+03, 7.910308e-01, 1.661520e-04, 2.088030e-01
1.008657e+03, 7.910362e-01, 1.659414e-04, 2.087978e-01
1.008726e+03, 7.910417e-01, 1.657309e-04, 2.087926e-01
1.008794e+03, 7.910471e-01, 1.655204e-04, 2.087874e-01
1.008863e+03, 7.910525e-01, 1.653099e-04, 2.087822e-01
1.008932e+03, 7.910579e-01, 1.650994e-04, 2.087770e-01
1.009001e+03, 7.910634e-01, 1.648889e-04, 2.087718e-01
1.009069e+03, 7.910687e-01, 1.646785e-04, 2.087666e-01
1.009138e+03, 7.910741e-01, 1.644680e-04, 2.087614e-01
1.009207e+03, 7.910795e-01, 1.642576e-04, 2.087562e-01
1.009275e+03, 7.910849e-01, 1.640473e-04, 2.087511e-01
1.009344e+03, 7.910902e-01, 1.638369e-04, 2.087459e-01
1.009413e+03, 7.910956e-01, 1.636266e-04, 2.087408e-01
1.009482e+03, 7.911009e-01, 1.634163e-04, 2.087357e-01
1.009550e+03, 7.911063e-01, 1.632060e-04, 2.087305e-01
1.009619e+03, 7.911116e-01, 1.629957e-04, 2.087254e-01
1.009688e+03, 7.911169e-01, 1.627854e-04, 2.087203e-01
1.009756e+03, 7.911222e-01, 1.625752e-04, 2.087152e-01
1.009825e+03, 7.911275e-01, 1.623650e-04, 2.087101e-01
1.009894e+03, 7.911328e-01, 1.621548e-04, 2.087050e-01
1.009962e+03, 7.911381e-01, 1.619447e-04, 2.087000e-01
1.010031e+03, 7.911434e-01, 1.617425e-04, 2.086949e-01
1.010100e+03, 7.911487e-01, 1.615500e-04, 2.086898e-01
1.010169e+03, 7.911539e-01, 1.613576e-04, 2.086847e-01
1.010237e+03, 7.911592e-01, 1.611651e-04, 2.086796e-01
1.010306e+03, 7.911645e-01, 1.609727e-04, 2.086745e-01
1.010375e+03, 7.911697e-01, 1.607803e-04, 2.086695e-01
1.010443e+03, 7.911750e-01, 1.605879e-04, 2.086644e-01
1.010512e+03, 7.911802e-01, 1.603955e-04, 2.086594e-01
1.010581e+03, 7.911855e-01, 1.602032e-04, 2.086543e-01
1.010650e+03, 7.911907e-01, 1.600109e-04, 2.086493e-01
1.010718e+03, 7.911959e-01, 1.598186e-04, 2.086443e-01
1.010787e+03, 7.912011e-01, 1.596263e-04, 2.086393e-01
1.010856e+03, 7.912063e-01, 1.594340e-04, 2.086343e-01
1.010924e+03, 7.912115e-01, 1.592417e-04, 2.086293e-01
1.010993e+03, 7.912167e-01, 1.590495e-04, 2.086243e-01
1.011062e+03, 7.912218e-01, 1.588573e-04, 2.086193e-01
1.011131e+03, 7.912270e-01, 1.586651e-04, 2.086143e-01
1.011199e+03, 7.912321e-01, 1.584729e-04, 2.086094e-01
1.011268e+03, 7.912373e-01, 1.582808e-04, 2.086044e-01
1.011337e+03, 7.912424e-01, 1.580887e-04, 2.085995e-01
1.011405e+03, 7.912476e-01, 1.578965e-04, 2.085945e-01
1.011474e+03, 7.912527e-01, 1.577045e-04, 2.085896e-01
1.011543e+03, 7.912578e-01, 1.575124e-04, 2.085847e-01
1.011611e+03, 7.912629e-01, 1.573203e-04, 2.085798e-01
1.011680e+03, 7.912680e-01, 1.571283e-04, 2.085749e-01
1.011749e+03, 7.912731e-01, 1.569363e-04, 2.085700e-01
1.011818e+03, 7.912781e-01, 1.567443e-04, 2.085651e-01
1.011886e+03, 7.912832e-01, 1.565523e-04, 2.085602e-01
1.011955e+03, 7.912883e-01, 1.563603e-04, 2.085554e-01
1.012024e+03, 7.912933e-01, 1.561684e-04, 2.085505e-01
1.012092e+03, 7.912984e-01, 1.559765e-04, 2.085457e-01
1.012161e+03, 7.913034e-01, 1.557846e-04, 2.085408e-01
1.012230e+03, 7.913084e-01, 1.555927e-04, 2.085360e-01
1.012299e+03, 7.913134e-01, 1.554008e-04, 2.085312e-01
1.012367e+03, 7.913184e-01, 1.552090e-04, 2.085264e-01
1.012436e+03, 7.913234e-01, 1.550172e-04, 2.085215e-01
1.012505e+03, 7.913284e-01, 1.548265e-04, 2.085167e-01
1.012573e+03, 7.913334e-01, 1.546521e-04, 2.085119e-01
1.012642e+03, 7.913384e-01, 1.544777e-04, 2.085071e-01
1.012711e+03, 7.913434e-01, 1.543033e-04, 2.085023e-01
1.012779e+03, 7.913484e-01, 1.541290e-04, 2.084975e-01
1.012848e+03, 7.913534e-01, 1.539546e-04, 2.084927e-01
1.012917e+03, 7.913583e-01, 1.537803e-04, 2.084879e-01
1.012986e+03, 7.913633e-01, 1.536060e-04, 2.084831e-01
1.013054e+03, 7.913683e-01, 1.534317e-04, 2.084783e-01
1.013123e+03, 7.913732e-01, 1.532575e-04, 2.084735e-01
1.013192e+03, 7.913781e-01, 1.530832e-04, 2.084688e-01
1.013260e+03, 7.913831e-01, 1.529090e-04, 2.084640e-01
1.013329e+03, 7.913880e-01, 1.527347e-04, 2.084593e-01
1.013398e+03, 7.913929e-01, 1.525605e-04, 2.084546e-01
1.013467e+03, 7.913978e-01, 1.523864e-04, 2.084498e-01
1.013535e+03, 7.914027e-01, 1.522122e-04, 2.084451e-01
1.013604e+03, 7.914075e-01, 1.520381e-04, 2.084404e-01
1.013673e+03, 7.914124e-01, 1.518639e-04, 2.084357e-01
1.013741e+03, 7.914173e-01, 1.516898e-04, 2.084310e-01
1.013810e+03, 7.914221e-01, 1.515157e-04, 2.084263e-01
1.013879e+03, 7.914270e-01, 1.513416e-04, 2.084217e-01
1.013947e+03, 7.914318e-01, 1.511676e-04, 2.084170e-01
1.014016e+03, 7.914367e-01, 1.509935e-04, 2.084124e-01
1.014085e+03, 7.914415e-01, 1.508195e-04, 2.084077e-01
1.014154e+03, 7.914463e-01, 1.506455e-04, 2.084031e-01
1.014222e+03, 7.914511e-01, 1.504715e-04, 2.083984e-01
1.014291e+03, 7.914559e-01, 1.502975e-04, 2.083938e-01
1.014360e+03, 7.914607e-01, 1.501236e-04, 2.083892e-01
1.014428e+03, 7.914655e-01, 1.499496e-04, 2.083846e-01
1.014497e+03, 7.914702e-01, 1.497757e-04, 2.083800e-01
1.014566e+03, 7.914750e-01, 1.496018e-04, 2.083754e-01
1.014635e+03, 7.914797e-01, 1.494279e-04, 2.083708e-01
1.014703e+03, 7.914845e-01, 1.492540e-04, 2.083663e-01
1.014772e+03, 7.914892e-01, 1.490802e-04, 2.083617e-01
1.014841e+03, 7.914940e-01, 1.489063e-04, 2.083571e-01
1.014909e+03, 7.914987e-01, 1.487325e-04, 2.083526e-01
1.014978e+03, 7.915034e-01, 1.485587e-04, 2.083481e-01
1.015047e+03, 7.915081e-01, 1.483966e-04, 2.083435e-01
1.015116e+03, 7.915128e-01, 1.482399e-04, 2.083389e-01
1.015184e+03, 7.915176e-01, 1.480833e-04, 2.083344e-01
1.015253e+03, 7.915223e-01, 1.479267e-04, 2.083298e-01
1.015322e+03, 7.915270e-01, 1.477701e-04, 2.083253e-01
1.015390e+03, 7.915317e-01, 1.476135e-04, 2.083207e-01
1.015459e+03, 7.915363e-01, 1.474569e-04, 2.083162e-01
1.015528e+03, 7.915410e-01, 1.473004e-04, 2.083117e-01
1.015596e+03, 7.915457e-01, 1.471438e-04, 2.083072e-01
1.015665e+03, 7.915503e-01, 1.469873e-04, 2.083027e-01
1.015734e+03, 7.915550e-01, 1.468308e-04, 2.082982e-01
1.015803e+03, 7.915596e-01, 1.466743e-04, 2.082937e-01
1.015871e+03, 7.915643e-01, 1.465178e-04, 2.082892e-01
1.015940e+03, 7.915689e-01, 1.463613e-04, 2.082847e-01
1.016009e+03, 7.915735e-01, 1.462049e-04, 2.082803e-01
1.016077e+03, 7.915781e-01, 1.460485e-04, 2.082758e-01
1.016146e+03, 7.915827e-01, 1.458920e-04, 2.082714e-01
1.016215e+03, 7.915873e-01, 1.457356e-04, 2.082669e-01
1.016284e+03, 7.915919e-01, 1.455793e-04, 2.082625e-01
1.016352e+03, 7.915965e-01, 1.454229e-04, 2.082581e-01
1.016421e+03, 7.916010e-01, 1.452665e-04, 2.082537e-01
1.016490e+03, 7.916056e-01, 1.451102e-04, 2.082493e-01
1.016558e+03, 7.916102e-01, 1.449539e-04, 2.082449e-01
1.016627e+03, 7.916147e-01, 1.447976e-04, 2.082405e-01
1.016696e+03, 7.916192e-01, 1.446413e-04, 2.082361e-01
1.016764e+03, 7.916238e-01, 1.444850e-04, 2.082318e-01
1.016833e+03, 7.916283e-01, 1.443287e-04, 2.082274e-01
1.016902e+03, 7.916328e-01, 1.441725e-04, 2.082230e-01
1.016971e+03, 7.916373e-01, 1.440162e-04, 2.082187e-01
1.017039e+03, 7.916418e-01, 1.438600e-04, 2.082144e-01
1.017108e+03, 7.916463e-01, 1.437038e-04, 2.082100e-01
1.017177e+03, 7.916507e-01, 1.435476e-04, 2.082057e-01
1.017245e+03, 7.916552e-01, 1.433915e-04, 2.082014e-01
1.017314e+03, 7.916597e-01, 1.432353e-04, 2.081971e-01
1.017383e+03, 7.916641e-01, 1.430792e-04, 2.081928e-01
1.017452e+03, 7.916686e-01, 1.429230e-04, 2.081885e-01
1.017520e+03, 7.916730e-01, 1.427719e-04, 2.081842e-01
1.017589e+03, 7.916775e-01, 1.426327e-04, 2.081799e-01
1.017658e+03, 7.916819e-01, 1.424935e-04, 2.081756e-01
1.017726e+03, 7.916863e-01, 1.423543e-04, 2.081713e-01
1.017795e+03, 7.916908e-01, 1.422151e-04, 2.081670e-01
1.017864e+03, 7.916952e-01, 1.420759e-04, 2.081627e-01
1.017932e+03, 7.916996e-01, 1.419368e-04, 2.081585e-01
1.018001e+03, 7.917040e-01, 1.417976e-04, 2.081542e-01
1.018070e+03, 7.917084e-01, 1.416585e-04, 2.081499e-01
1.018139e+03, 7.917128e-01, 1.415194e-04, 2.081457e-01
1.018207e+03, 7.917172e-01, 1.413803e-04, 2.081414e-01
1.018276e+03, 7.917216e-01, 1.412412e-04, 2.081372e-01
1.018345e+03, 7.917259e-01, 1.411022e-04, 2.081330e-01
1.018413e+03, 7.917303e-01, 1.409631e-04, 2.081288e-01
1.018482e+03, 7.917346e-01, 1.408241e-04, 2.081246e-01
1.018551e+03, 7.917390e-01, 1.406850e-04, 2.081204e-01
1.018620e+03, 7.917433e-01, 1.405460e-04, 2.081162e-01
1.018688e+03, 7.917476e-01, 1.404070e-04, 2.081120e-01
1.018757e+03, 7.917519e-01, 1.402680e-04, 2.081078e-01
1.018826e+03, 7.917562e-01, 1.401291e-04, 2.081036e-01
1.018894e+03, 7.917605e-01, 1.399901e-04, 2.080995e-01
1.018963e+03, 7.917648e-01, 1.398512e-04, 2.080953e-01
1.019032e+03, 7.917691e-01, 1.397122e-04, 2.080912e-01
1.019101e+03, 7.917734e-01, 1.395733e-04, 2.080870e-01
1.019169e+03, 7.917777e-01, 1.394344e-04, 2.080829e-01
1.019238e+03, 7.917819e-01, 1.392955e-04, 2.080788e-01
1.019307e+03, 7.917862e-01, 1.391566e-04, 2.080747e-01
1.019375e+03, 7.917904e-01, 1.390178e-04, 2.080706e-01
1.019444e+03, 7.917946e-01, 1.388789e-04, 2.080665e-01
1.019513e+03, 7.917989e-01, 1.387401e-04, 2.080624e-01
1.019581e+03, 7.918031e-01, 1.386013e-04, 2.080583e-01
1.019650e+03, 7.918073e-01, 1.384624e-04, 2.080542e-01
1.019719e+03, 7.918115e-01, 1.383236e-04, 2.080502e-01
1.019788e+03, 7.918157e-01, 1.381849e-04, 2.080461e-01
1.019856e+03, 7.918199e-01, 1.380461e-04, 2.080421e-01
1.019925e+03, 7.918240e-01, 1.379073e-04, 2.080380e-01
1.019994e+03, 7.918282e-01, 1.377686e-04, 2.080340e-01
1.020062e+03, 7.918324e-01, 1.376450e-04, 2.080299e-01
1.020131e+03, 7.918366e-01, 1.375229e-04, 2.080259e-01
1.020200e+03, 7.918408e-01, 1.374008e-04, 2.080218e-01
1.020269e+03, 7.918449e-01, 1.372787e-04, 2.080178e-01
1.020337e+03, 7.918491e-01, 1.371567e-04, 2.080138e-01
1.020406e+03, 7.918532e-01, 1.370347e-04, 2.080097e-01
1.020475e+03, 7.918574e-01, 1.369126e-04, 2.080057e-01
1.020543e+03, 7.918615e-01, 1.367906e-04, 2.080017e-01
1.020612e+03, 7.918656e-01, 1.366686e-04, 2.079977e-01
1.020681e+03, 7.918698e-01, 1.365466e-04, 2.079937e-01
1.020749e+03, 7.918739e-01, 1.364247e-04, 2.079897e-01
1.020818e+03, 7.918780e-01, 1.363027e-04, 2.079857e-01
1.020887e+03, 7.918821e-01, 1.361807e-04, 2.079817e-01
1.020956e+03, 7.918862e-01, 1.360588e-04, 2.079778e-01
1.021024e+03, 7.918902e-01, 1.359369e-04, 2.079738e-01
1.021093e+03, 7.918943e-01, 1.358150e-04, 2.079699e-01
1.021162e+03, 7.918984e-01, 1.356931e-04, 2.079659e-01
1.021230e+03, 7.919024e-01, 1.355712e-04, 2.079620e-01
1.021299e+03, 7.919065e-01, 1.354493e-04, 2.079581e-01
1.021368e+03, 7.919105e-01, 1.353274e-04, 2.079542e-01
1.021437e+03, 7.919145e-01, 1.352056e-04, 2.079503e-01
1.021505e+03, 7.919186e-01, 1.350837e-04, 2.079464e-01
1.021574e+03, 7.919226e-01, 1.349619e-04, 2.079425e-01
1.021643e+03, 7.919266e-01, 1.348401e-04, 2.079386e-01
1.021711e+03, 7.919306e-01, 1.347183e-04, 2.079347e-01
1.021780e+03, 7.919346e-01, 1.345965e-04, 2.079308e-01
1.021849e+03, 7.919386e-01, 1.344747e-04, 2.079270e-01
1.021917e+03, 7.919425e-01, 1.343529e-04, 2.079231e-01
1.021986e+03, 7.919465e-01, 1.342312e-04, 2.079193e-01
1.022055e+03, 7.919505e-01, 1.341094e-04, 2.079154e-01
1.022124e+03, 7.919544e-01, 1.339877e-04, 2.079116e-01
1.022192e+03, 7.919584e-01, 1.338660e-04, 2.079078e-01
1.022261e+03, 7.919623e-01, 1.337443e-04, 2.079040e-01
1.022330e+03, 7.919662e-01, 1.336226e-04, 2.079002e-01
1.022398e+03, 7.919701e-01, 1.335009e-04, 2.078964e-01
1.022467e+03, 7.919740e-01, 1.333792e-04, 2.078926e-01
1.022536e+03, 7.919780e-01, 1.332661e-04, 2.078888e-01
1.022605e+03, 7.919819e-01, 1.331608e-04, 2.078849e-01
1.022673e+03, 7.919858e-01, 1.330556e-04, 2.078811e-01
1.022742e+03, 7.919897e-01, 1.329504e-04, 2.078773e-01
1.022811e+03, 7.919936e-01, 1.328451e-04, 2.078735e-01
1.022879e+03, 7.919975e-01, 1.327399e-04, 2.078697e-01
1.022948e+03, 7.920014e-01, 1.326347e-04, 2.078660e-01
1.023017e+03, 7.920053e-01, 1.325295e-04, 2.078622e-01
1.023086e+03, 7.920092e-01, 1.324243e-04, 2.078584e-01
1.023154e+03, 7.920130e-01, 1.323192e-04, 2.078547e-01
1.023223e+03, 7.920169e-01, 1.322140e-04, 2.078509e-01
1.023292e+03, 7.920207e-01, 1.321089e-04, 2.078472e-01
1.023360e+03, 7.920246e-01, 1.320037e-04, 2.078434e-01
1.023429e+03, 7.920284e-01, 1.318986e-04, 2.078397e-01
1.023498e+03, 7.920322e-01, 1.317935e-04, 2.078360e-01
1.023566e+03, 7.920360e-01, 1.316884e-04, 2.078323e-01
1.023635e+03, 7.920398e-01, 1.315833e-04, 2.078286e-01
1.023704e+03, 7.920436e-01, 1.314782e-04, 2.078249e-01
1.023773e+03, 7.920474e-01, 1.313731e-04, 2.078212e-01
1.023841e+03, 7.920512e-01, 1.312681e-04, 2.078175e-01
1.023910e+03, 7.920550e-01, 1.311630e-04, 2.078138e-01
1.023979e+03, 7.920588e-01, 1.310580e-04, 2.078102e-01
1.024047e+03, 7.920625e-01, 1.309529e-04, 2.078065e-01
1.024116e+03, 7.920663e-01, 1.308479e-04, 2.078029e-01
