wl_nm,n,k
625,1.622152,0
626,1.62207,0
627,1.621988,0
628,1.621906,0
629,1.621825,0
630,1.621744,0
631,1.621663,0
632,1.621583,0
633,1.621503,0
634,1.621424,0
635,1.621345,0
636,1.621266,0
637,1.621188,0
638,1.62111,0
639,1.621032,0
640,1.620955,0
641,1.620878,0
642,1.620801,0
643,1.620725,0
644,1.620649,0
645,1.620574,0
646,1.620499,0
647,1.620424,0
648,1.620349,0
649,1.620275,0
650,1.620201,0
651,1.620128,0
652,1.620054,0
653,1.619982,0
654,1.619909,0
655,1.619837,0
656,1.619765,0
657,1.619693,0
658,1.619622,0
659,1.619551,0
660,1.61948,0
661,1.61941,0
662,1.61934,0
663,1.61927,0
664,1.619201,0
665,1.619132,0
666,1.619063,0
667,1.618994,0
668,1.618926,0
669,1.618858,0
670,1.61879,0
671,1.618723,0
672,1.618656,0
673,1.618589,0
674,1.618523,0
675,1.618457,0
676,1.618391,0
677,1.618325,0
678,1.61826,0
679,1.618195,0
680,1.61813,0
681,1.618065,0
682,1.618001,0
683,1.617937,0
684,1.617874,0
685,1.61781,0
686,1.617747,0
687,1.617684,0
688,1.617622,0
689,1.617559,0
690,1.617497,0
691,1.617435,0
692,1.617374,0
693,1.617313,0
694,1.617252,0
695,1.617191,0
696,1.61713,0
697,1.61707,0
698,1.61701,0
699,1.61695,0
700,1.616891,0
701,1.616831,0
702,1.616772,0
703,1.616714,0
704,1.616655,0
705,1.616597,0
706,1.616539,0
707,1.616481,0
708,1.616423,0
709,1.616366,0
710,1.616309,0
711,1.616252,0
712,1.616195,0
713,1.616139,0
714,1.616083,0
715,1.616027,0
716,1.615971,0
717,1.615916,0
718,1.61586,0
719,1.615805,0
720,1.61575,0
721,1.615696,0
722,1.615641,0
723,1.615587,0
724,1.615533,0
725,1.61548,0
726,1.615426,0
727,1.615373,0
728,1.61532,0
729,1.615267,0
730,1.615214,0
731,1.615162,0
732,1.61511,0
733,1.615058,0
734,1.615006,0
735,1.614954,0
736,1.614903,0
737,1.614851,0
738,1.614801,0
739,1.61475,0
740,1.614699,0
741,1.614649,0
742,1.614599,0
743,1.614549,0
744,1.614499,0
745,1.614449,0
746,1.6144,0
747,1.614351,0
748,1.614302,0
749,1.614253,0
750,1.614204,0
751,1.614156,0
752,1.614107,0
753,1.614059,0
754,1.614011,0
755,1.613964,0
756,1.613916,0
757,1.613869,0
758,1.613822,0
759,1.613775,0
760,1.613728,0
761,1.613681,0
762,1.613635,0
763,1.613589,0
764,1.613543,0
765,1.613497,0
766,1.613451,0
767,1.613405,0
768,1.61336,0
769,1.613315,0
770,1.61327,0
771,1.613225,0
772,1.61318,0
773,1.613136,0
774,1.613091,0
775,1.613047,0
776,1.613003,0
777,1.612959,0
778,1.612916,0
779,1.612872,0
780,1.612829,0
781,1.612786,0
782,1.612743,0
783,1.6127,0
784,1.612657,0
785,1.612614,0
786,1.612572,0
787,1.61253,0
788,1.612488,0
789,1.612446,0
790,1.612404,0
791,1.612363,0
792,1.612321,0
793,1.61228,0
794,1.612239,0
795,1.612198,0
796,1.612157,0
797,1.612116,0
798,1.612075,0
799,1.612035,0
800,1.611995,0
801,1.611955,0
802,1.611915,0
803,1.611875,0
804,1.611835,0
805,1.611796,0
806,1.611756,0
807,1.611717,0
808,1.611678,0
809,1.611639,0
810,1.6116,0
811,1.611562,0
812,1.611523,0
813,1.611485,0
814,1.611447,0
815,1.611408,0
816,1.611371,0
817,1.611333,0
818,1.611295,0
819,1.611257,0
820,1.61122,0
821,1.611183,0
822,1.611146,0
823,1.611109,0
824,1.611072,0
825,1.611035,0
826,1.610998,0
827,1.610962,0
828,1.610925,0
829,1.610889,0
830,1.610853,0
831,1.610817,0
832,1.610781,0
833,1.610745,0
834,1.61071,0
835,1.610674,0
836,1.610639,0
837,1.610604,0
838,1.610569,0
839,1.610534,0
840,1.610499,0
841,1.610464,0
842,1.610429,0
843,1.610395,0
844,1.610361,0
845,1.610326,0
846,1.610292,0
847,1.610258,0
848,1.610224,0
849,1.610191,0
850,1.610157,0
851,1.610123,0
852,1.61009,0
853,1.610057,0
854,1.610023,0
855,1.60999,0
856,1.609957,0
857,1.609924,0
858,1.609892,0
859,1.609859,0
860,1.609826,0
861,1.609794,0
862,1.609762,0
863,1.60973,0
864,1.609697,0
865,1.609666,0
866,1.609634,0
867,1.609602,0
868,1.60957,0
869,1.609539,0
870,1.609507,0
871,1.609476,0
872,1.609445,0
873,1.609414,0
874,1.609383,0
875,1.609352,0
876,1.609321,0
877,1.60929,0
878,1.609259,0
879,1.609229,0
880,1.609199,0
881,1.609168,0
882,1.609138,0
883,1.609108,0
884,1.609078,0
885,1.609048,0
886,1.609018,0
887,1.608989,0
888,1.608959,0
889,1.60893,0
890,1.6089,0
891,1.608871,0
892,1.608842,0
893,1.608813,0
894,1.608784,0
895,1.608755,0
896,1.608726,0
897,1.608697,0
898,1.608669,0
899,1.60864,0
900,1.608612,0
901,1.608583,0
902,1.608555,0
903,1.608527,0
904,1.608499,0
905,1.608471,0
906,1.608443,0
907,1.608415,0
908,1.608387,0
909,1.60836,0
910,1.608332,0
911,1.608305,0
912,1.608277,0
913,1.60825,0
914,1.608223,0
915,1.608196,0
916,1.608169,0
917,1.608142,0
918,1.608115,0
