Wlum,Rfrac
1530.250648,-0.003072197
1533.292999,0.006144393
1536.197061,0.016897081
1539.930856,0.033794163
1542.834918,0.049155146
1547.121867,0.070660522
1550.579084,0.093701997
1554.451167,0.115207373
1558.461538,0.144393241
1563.57822,0.181259601
1568.003457,0.219662058
1571.460674,0.250384025
1576.162489,0.294930876
1580.31115,0.34562212
1584.45981,0.397849462
1588.885048,0.46390169
1591.78911,0.514592934
1594.831461,0.562211982
1597.735523,0.609831029
1600.224719,0.640552995
1602.990493,0.668202765
1606.032844,0.689708141
1608.383751,0.692780338
1611.149525,0.69124424
1613.500432,0.68202765
1616.542783,0.666666667
1620.138289,0.643625192
1624.637681,0.606903839
1631.15942,0.57590701
1637.681159,0.536456499
1645.652174,0.488552307
1657.971014,0.444874956
1675.362319,0.395561818
1692.028986,0.356111307
1712.318841,0.313842902
1734.782609,0.263120817
1742.028986,0.243395562
1746.376812,0.230715041
1750.724638,0.2264882
1754.347826,0.229306094
1757.246377,0.251849243
1760.869565,0.301162381
1763.043478,0.340612892
1764.492754,0.357520254
1768.115942,0.357520254
1771.014493,0.336386051
1771.73913,0.32370553
1775.362319,0.308207115
1776.086957,0.351884466
1777.536232,0.395561818
1778.985507,0.466009158
1781.15942,0.581542797
1781.884058,0.670306446
1784.782609,0.616766467
1790.57971,0.489961254
1795.652174,0.425149701
1807.246377,0.367382881
1823.913043,0.325114477
1842.028986,0.301162381
1865.942029,0.281437126
1889.130435,0.265938711
